,iconname,w,h,rotate,path,compname,ID примитива,PrimitiveName,Класс CIM из IEC61970-301,"Номер в СТО 56947007-
29.240.10.035-2009","Название в СТО 56947007-
29.240.10.035-2009",Определение в ГОСТ Р 58651
27,Тележка разъединителя КРУ  в контрольном положении_f.svg,91,91,none,primitives_img/Тележка разъединителя КРУ  в контрольном положении_f.svg,Тележка разъединителя КРУ  в контрольном положении,20.0,KruDisconnectorControl,ProtectedSwitch,9в,Тележка разъединителя КРУ,
28,Автоматический выключатель отключен_f.svg,91,91,none,primitives_img/Автоматический выключатель отключен_f.svg,Автоматический выключатель отключен,13.0,CircuitBreakerOff,Breaker,7 б,Автоматический выключатель,Выключатель
29,Выключатель включен_f.svg,91,91,none,primitives_img/Выключатель включен_f.svg,Выключатель включен,0.0,SwitchOn,Breaker,1 а,Выключатель,Выключатель
30,Тележка разъединителя КРУ в ремонтном положении_f.svg,91,91,none,primitives_img/Тележка разъединителя КРУ в ремонтном положении_f.svg,Тележка разъединителя КРУ в ремонтном положении,19.0,KruDisconnectorRepair,ProtectedSwitch,9б,Тележка разъединителя КРУ,
31,Трансформатор тока_f.svg,121,91,none,primitives_img/Трансформатор тока_f.svg,Трансформатор тока,42.0,CurrentTransformer,CurrentTransformer,24,Трансформатор тока,Трансформатор тока
32,Дугогасящие реакторы с возможностью плавного регулирования_r.svg,91,91,right,primitives_img/Дугогасящие реакторы с возможностью плавного регулирования_r.svg,Дугогасящие реакторы с возможностью плавного регулирования,28.0,ArcSuppressionReactors-ModulatingControl,PetersenCoil,13,Дугогасящие реакторы,Дугогасящая катушка Петерсена
33,Тележка разъединителя КРУ  в контрольном положении_r.svg,91,91,right,primitives_img/Тележка разъединителя КРУ  в контрольном положении_r.svg,Тележка разъединителя КРУ  в контрольном положении,20.0,KruDisconnectorControl,ProtectedSwitch,9в,Тележка разъединителя КРУ,
34,Тележка выключателя КРУ в контрольном положении выключатель отключен_r.svg,91,91,right,primitives_img/Тележка выключателя КРУ в контрольном положении выключатель отключен_r.svg,Тележка выключателя КРУ в контрольном положении выключатель отключен,17.0,KruSwitchTrolleyControlOff,ProtectedSwitch,8 г,Тележка выключателя КРУ,
35,Трансформатор напряжения 2-х обмоточный_l.svg,91,91,left,primitives_img/Трансформатор напряжения 2-х обмоточный_l.svg,Трансформатор напряжения 2-х обмоточный,29.0,VoltageTransformer-2Wind,PotentialTransformer,14,Трансформатор напряжения 2-х обмоточный,
36,Трансформатор тока_l.svg,91,121,left,primitives_img/Трансформатор тока_l.svg,Трансформатор тока,42.0,CurrentTransformer,CurrentTransformer,24,Трансформатор тока,Трансформатор тока
37,Тележка разъединителя КРУ в ремонтном положении_r.svg,91,91,right,primitives_img/Тележка разъединителя КРУ в ремонтном положении_r.svg,Тележка разъединителя КРУ в ремонтном положении,19.0,KruDisconnectorRepair,ProtectedSwitch,9б,Тележка разъединителя КРУ,
38,Реактор шунтирующий_l.svg,82,91,left,primitives_img/Реактор шунтирующий_l.svg,Реактор шунтирующий,39.0,ShuntReactor,ConductingEquipment,22,Реактор шунтирующий,
39,Разрядник_r.svg,91,91,right,primitives_img/Разрядник_r.svg,Разрядник,35.0,Discharger,ConductingEquipment,19,Разрядник,
40,Отделитель отключен_l.svg,91,91,left,primitives_img/Отделитель отключен_l.svg,Отделитель отключен,11.0,SeparatorOff,GroundDisconnector,6 б,Отделитель,
41,Дугогасящие реакторы_r.svg,91,91,right,primitives_img/Дугогасящие реакторы_r.svg,Дугогасящие реакторы,27.0,ArcSuppressionReactors,PetersenCoil,13,Дугогасящие реакторы,Дугогасящая катушка Петерсена
42,Трансформатор силовой 2-х обмоточный_r.svg,91,91,right,primitives_img/Трансформатор силовой 2-х обмоточный_r.svg,Трансформатор силовой 2-х обмоточный,24.0,PowerTransformer2-Wind,PowerTransformer,11,Трансформатор силовой 2-х обмоточный,Силовой трансформатор
43,Тележка разъединителя КРУ в рабочем положении_f.svg,91,91,none,primitives_img/Тележка разъединителя КРУ в рабочем положении_f.svg,Тележка разъединителя КРУ в рабочем положении,18.0,SwitchGearDisconnectCartAtWorkplace,ProtectedSwitch,9а,Тележка разъединителя КРУ,
44,Разъединитель включен_f.svg,91,91,none,primitives_img/Разъединитель включен_f.svg,Разъединитель включен,4.0,DisconnectOn,Disconnector,3 а,Разъединитель,Разъединитель
45,Тележка выключателя КРУ в рабочем положении выключатель отключен_r.svg,91,91,right,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель отключен_r.svg,Тележка выключателя КРУ в рабочем положении выключатель отключен,15.0,KruSwitchTrolleyWorkingOff,ProtectedSwitch,8 б,Тележка выключателя КРУ,
46,Предохранитель с плавкой вставкой_l.svg,59,91,left,primitives_img/Предохранитель с плавкой вставкой_l.svg,Предохранитель с плавкой вставкой,36.0,FusedFuse,Fuse,20,Предохранитель 6 – 35 кВ,Предохранитель с плавкой вставкой
47,Короткозамыкатель отключен_f.svg,91,91,none,primitives_img/Короткозамыкатель отключен_f.svg,Короткозамыкатель отключен,9.0,ShortCircuitOff,GroundSwitch,5,Короткозамыкатель,Короткозамыкатель
48,Трансформатор силовой 3-х обмоточный_r.svg,81,84,right,primitives_img/Трансформатор силовой 3-х обмоточный_r.svg,Трансформатор силовой 3-х обмоточный,26.0,PowerTransformer-3Wind,PowerTransformer,12,Трансформатор силовой 3-х обмоточный,Силовой трансформатор
49,Токоограничивающий реактор сдвоенный_f.svg,81,89,none,primitives_img/Токоограничивающий реактор сдвоенный_f.svg,Токоограничивающий реактор сдвоенный,38.0,CurrentLimitingReactorDouble,ConductingEquipment,21,Токоограничивающий реактор,
50,Трансформатор силовой 3-х обмоточный с РПН_f.svg,84,81,none,primitives_img/Трансформатор силовой 3-х обмоточный с РПН_f.svg,Трансформатор силовой 3-х обмоточный с РПН,25.0,PowerTransformer-3Wind-LoadTapChanger,PowerTransformer,12,Трансформатор силовой 3-х обмоточный,Силовой трансформатор
51,Двигатель_r.svg,76,91,right,primitives_img/Двигатель_r.svg,Двигатель,81.0,Engine,,,,
