,iconname,w,h,rotate,path,compname,ID примитива,PrimitiveName,Класс CIM из IEC61970-301,"Номер в СТО 56947007-
29.240.10.035-2009","Название в СТО 56947007-
29.240.10.035-2009",Определение в ГОСТ Р 58651
130,Токоограничивающий реактор сдвоенный_l.svg,89,81,left,primitives_img/Токоограничивающий реактор сдвоенный_l.svg,Токоограничивающий реактор сдвоенный,38.0,CurrentLimitingReactorDouble,ConductingEquipment,21,Токоограничивающий реактор,
131,Фильтр присоединения_f.svg,91,37,none,primitives_img/Фильтр присоединения_f.svg,Фильтр присоединения,32.0,JoinFilter,IdentifiedObject,16,Фильтр присоединения,
132,Ограничитель перенапряжений_l.svg,91,91,left,primitives_img/Ограничитель перенапряжений_l.svg,Ограничитель перенапряжений,34.0,SurgeArrester,SurgeArrester,18,Ограничитель перенапряжений,Ограничитель перенапряжения
133,Генератор_l.svg,76,91,left,primitives_img/Генератор_l.svg,Генератор,80.0,Generator,,,,
134,Тележка разъединителя КРУ в рабочем положении_l.svg,91,91,left,primitives_img/Тележка разъединителя КРУ в рабочем положении_l.svg,Тележка разъединителя КРУ в рабочем положении,18.0,SwitchGearDisconnectCartAtWorkplace,ProtectedSwitch,9а,Тележка разъединителя КРУ,
138,Отделитель включен_f.svg,91,91,none,primitives_img/Отделитель включен_f.svg,Отделитель включен,10.0,SeparatorOn,GroundDisconnector,6 а,Отделитель,
139,Разъединитель отключен_r.svg,91,91,right,primitives_img/Разъединитель отключен_r.svg,Разъединитель отключен,5.0,DisconnectOff,Disconnector,3 б,Разъединитель,Разъединитель
140,Выключатель отключен_f.svg,91,91,none,primitives_img/Выключатель отключен_f.svg,Выключатель отключен,1.0,SwitchOff,Breaker,1 б,Выключатель,Выключатель
141,Заземляющий нож включен_r.svg,91,91,right,primitives_img/Заземляющий нож включен_r.svg,Заземляющий нож включен,6.0,GroundingKnifeOn,GroundSwitch,4 а,Заземляющий нож,Короткозамыкатель
142,Конденсатор_l.svg,75,91,left,primitives_img/Конденсатор_l.svg,Конденсатор,33.0,Capacitor,ConductingEquipment,17,Конденсатор,
143,Трансформатор силовой 2-х обмоточный с РПН_l.svg,91,91,left,primitives_img/Трансформатор силовой 2-х обмоточный с РПН_l.svg,Трансформатор силовой 2-х обмоточный с РПН,23.0,PowerTransformer-2Wind-LoadTapChanger,PowerTransformer,11,Трансформатор силовой 2-х обмоточный,Силовой трансформатор
145,Синхронный компенсатор_r.svg,49,91,right,primitives_img/Синхронный компенсатор_r.svg,Синхронный компенсатор,41.0,SynchronousCompensator,ConductingEquipment,23,Синхронный компенсатор,
146,Выключатель нагрузки отключен_r.svg,91,91,right,primitives_img/Выключатель нагрузки отключен_r.svg,Выключатель нагрузки отключен,3.0,LoadBreakSwitchOpen,LoadBreakSwitch,2 б,Выключатель нагрузки,Выключатель нагрузки
147,Тележка выключателя КРУ в контрольном положении выключатель отключен_l.svg,91,91,left,primitives_img/Тележка выключателя КРУ в контрольном положении выключатель отключен_l.svg,Тележка выключателя КРУ в контрольном положении выключатель отключен,17.0,KruSwitchTrolleyControlOff,ProtectedSwitch,8 г,Тележка выключателя КРУ,
148,Реактор шунтирующий_f.svg,91,82,none,primitives_img/Реактор шунтирующий_f.svg,Реактор шунтирующий,39.0,ShuntReactor,ConductingEquipment,22,Реактор шунтирующий,
149,Автотрансформатор 3-х обмоточный с РПН_r.svg,119,91,right,primitives_img/Автотрансформатор 3-х обмоточный с РПН_r.svg,Автотрансформатор 3-х обмоточный с РПН,21.0,3WindAutotransformerWithTapChanger,PowerTransformer,10,Автотрансформатор 3-х обмоточный,Силовой трансформатор
150,Реактор шунтирующий с возможностью регулирования_f.svg,91,82,none,primitives_img/Реактор шунтирующий с возможностью регулирования_f.svg,Реактор шунтирующий с возможностью регулирования,40.0,ShuntReactor-Regulation,ConductingEquipment,22,Реактор шунтирующий,
152,Генератор_r.svg,76,91,right,primitives_img/Генератор_r.svg,Генератор,80.0,Generator,,,,
153,Трансформатор тока_r.svg,91,121,right,primitives_img/Трансформатор тока_r.svg,Трансформатор тока,42.0,CurrentTransformer,CurrentTransformer,24,Трансформатор тока,Трансформатор тока
154,Выключатель включен_r.svg,91,91,right,primitives_img/Выключатель включен_r.svg,Выключатель включен,0.0,SwitchOn,Breaker,1 а,Выключатель,Выключатель
155,Реактор шунтирующий с возможностью регулирования_l.svg,82,91,left,primitives_img/Реактор шунтирующий с возможностью регулирования_l.svg,Реактор шунтирующий с возможностью регулирования,40.0,ShuntReactor-Regulation,ConductingEquipment,22,Реактор шунтирующий,
156,Реактор шунтирующий с возможностью регулирования_r.svg,82,91,right,primitives_img/Реактор шунтирующий с возможностью регулирования_r.svg,Реактор шунтирующий с возможностью регулирования,40.0,ShuntReactor-Regulation,ConductingEquipment,22,Реактор шунтирующий,
157,Трансформатор силовой 2-х обмоточный_l.svg,91,91,left,primitives_img/Трансформатор силовой 2-х обмоточный_l.svg,Трансформатор силовой 2-х обмоточный,24.0,PowerTransformer2-Wind,PowerTransformer,11,Трансформатор силовой 2-х обмоточный,Силовой трансформатор
3,Выключатель отключен дублирование_f.svg,91,91,none,primitives_img/Выключатель отключен дублирование_f.svg,Выключатель отключен дублирование,1.0,SwitchOffDoubled,Breaker,1 б,Выключатель,Выключатель
53,Тележка выключателя КРУ в рабочем положении выключатель отключен дублирование_l.svg,91,91,left,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель отключен дублирование_l.svg,Тележка выключателя КРУ в рабочем положении выключатель отключен дублирование,15.0,KruSwitchTrolleyWorkingOffDoubled,ProtectedSwitch,8 б,Тележка выключателя КРУ,
58,Тележка выключателя КРУ в рабочем положении выключатель включен дублирование_f.svg,91,91,none,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель включен дублирование_f.svg,Тележка выключателя КРУ в рабочем положении выключатель включен дублирование,14.0,KruSwitchTrolleyWorkingOnDoubled,ProtectedSwitch,8 а,Тележка выключателя КРУ,
60,Тележка выключателя КРУ в рабочем положении выключатель отключен дублирование_r.svg,91,91,right,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель отключен дублирование_r.svg,Тележка выключателя КРУ в рабочем положении выключатель отключен дублирование,15.0,KruSwitchTrolleyWorkingOffDoubled,ProtectedSwitch,8 б,Тележка выключателя КРУ,
62,Выключатель нагрузки отключен дублирование_l.svg,91,91,left,primitives_img/Выключатель нагрузки отключен дублирование_l.svg,Выключатель нагрузки отключен дублирование,3.0,LoadBreakSwitchOpenDoubled,LoadBreakSwitch,2 б,Выключатель нагрузки,Выключатель нагрузки
78,Выключатель нагрузки отключен дублирование_f.svg,91,91,none,primitives_img/Выключатель нагрузки отключен дублирование_f.svg,Выключатель нагрузки отключен дублирование,3.0,LoadBreakSwitchOpenDoubled,LoadBreakSwitch,2 б,Выключатель нагрузки,Выключатель нагрузки
80,Выключатель включен дублирование_f.svg,91,91,none,primitives_img/Выключатель включен дублирование_f.svg,Выключатель включен дублирование,0.0,SwitchOnDoubled,Breaker,1 а,Выключатель,Выключатель
94,Тележка выключателя КРУ в контрольном положении выключатель отключен дублирование_r.svg,91,91,right,primitives_img/Тележка выключателя КРУ в контрольном положении выключатель отключен дублирование_r.svg,Тележка выключателя КРУ в контрольном положении выключатель отключен дублирование,17.0,KruSwitchTrolleyControlOffDoubled,ProtectedSwitch,8 г,Тележка выключателя КРУ,
96,Тележка выключателя КРУ в рабочем положении выключатель отключен дублирование_f.svg,91,91,none,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель отключен дублирование_f.svg,Тележка выключателя КРУ в рабочем положении выключатель отключен дублирование,15.0,KruSwitchTrolleyWorkingOffDoubled,ProtectedSwitch,8 б,Тележка выключателя КРУ,
99,Тележка выключателя КРУ в ремонтном положении выключатель отключен дублирование_f.svg,91,91,none,primitives_img/Тележка выключателя КРУ в ремонтном положении выключатель отключен дублирование_f.svg,Тележка выключателя КРУ в ремонтном положении выключатель отключен дублирование,16.0,KruSwitchTrolleyRepairOffDoubled,ProtectedSwitch,8 в,Тележка выключателя КРУ,
109,Выключатель нагрузки включен дублирование_f.svg,91,91,none,primitives_img/Выключатель нагрузки включен дублирование_f.svg,Выключатель нагрузки включен дублирование,2.0,LoadBreakSwitchOnDoubled,LoadBreakSwitch,2 а,Выключатель нагрузки,Выключатель нагрузки
110,Выключатель нагрузки включен дублирование_r.svg,91,91,right,primitives_img/Выключатель нагрузки включен дублирование_r.svg,Выключатель нагрузки включен дублирование,2.0,LoadBreakSwitchOnDoubled,LoadBreakSwitch,2 а,Выключатель нагрузки,Выключатель нагрузки
118,Тележка выключателя КРУ в ремонтном положении выключатель отключен дублирование_r.svg,91,91,right,primitives_img/Тележка выключателя КРУ в ремонтном положении выключатель отключен дублирование_r.svg,Тележка выключателя КРУ в ремонтном положении выключатель отключен дублирование,16.0,KruSwitchTrolleyRepairOffDoubled,ProtectedSwitch,8 в,Тележка выключателя КРУ,
127,Тележка выключателя КРУ в рабочем положении выключатель включен дублирование_l.svg,91,91,left,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель включен дублирование_l.svg,Тележка выключателя КРУ в рабочем положении выключатель включен дублирование,14.0,KruSwitchTrolleyWorkingOnDoubled,ProtectedSwitch,8 а,Тележка выключателя КРУ,
128,Тележка выключателя КРУ в контрольном положении выключатель отключен дублирование_f.svg,91,91,none,primitives_img/Тележка выключателя КРУ в контрольном положении выключатель отключен дублирование_f.svg,Тележка выключателя КРУ в контрольном положении выключатель отключен дублирование,17.0,KruSwitchTrolleyControlOffDoubled,ProtectedSwitch,8 г,Тележка выключателя КРУ,
135,Выключатель отключен дублирование_l.svg,91,91,left,primitives_img/Выключатель отключен дублирование_l.svg,Выключатель отключен дублирование,1.0,SwitchOffDoubled,Breaker,1 б,Выключатель,Выключатель
136,Тележка выключателя КРУ в ремонтном положении выключатель отключен дублирование_l.svg,91,91,left,primitives_img/Тележка выключателя КРУ в ремонтном положении выключатель отключен дублирование_l.svg,Тележка выключателя КРУ в ремонтном положении выключатель отключен дублирование,16.0,KruSwitchTrolleyRepairOffDoubled,ProtectedSwitch,8 в,Тележка выключателя КРУ,
137,Тележка выключателя КРУ в контрольном положении выключатель отключен дублирование_l.svg,91,91,left,primitives_img/Тележка выключателя КРУ в контрольном положении выключатель отключен дублирование_l.svg,Тележка выключателя КРУ в контрольном положении выключатель отключен дублирование,17.0,KruSwitchTrolleyControlOffDoubled,ProtectedSwitch,8 г,Тележка выключателя КРУ,
144,Выключатель нагрузки включен дублирование_l.svg,91,91,left,primitives_img/Выключатель нагрузки включен дублирование_l.svg,Выключатель нагрузки включен дублирование,2.0,LoadBreakSwitchOnDoubled,LoadBreakSwitch,2 а,Выключатель нагрузки,Выключатель нагрузки
151,Выключатель включен дублирование_l.svg,91,91,left,primitives_img/Выключатель включен дублирование_l.svg,Выключатель включен дублирование,0.0,SwitchOnDoubled,Breaker,1 а,Выключатель,Выключатель
