,juncType,node_name_start,node_id_start,node_id_end,node_name_end,X_start,X_end,Y_start,Y_end,startKind,startValue,startT,endKind,endValue,endT,startIsSource,endIsOutlet,L,d,s,uphillM,effectiveD,intD,roughness,perforation,pumpDepth,model,frequency,productivity,predict_mode,shtr_debit,K_pump,VolumeWater,wellNum,padNum,startP,endP,start_Q_m3_day,end_Q_m3_day,res_watercut_percent,res_liquid_density_kg_m3,res_pump_power_watt,X_kg_sec,velocity_m_sec
71,pipe,вр. к.43,1751051661,1751062704,уз.входа ДНС-3,436574.32,439079.83,6568628.79,6568361.91,,,20,,,20,False,False,2810.0,219,8,0.6,0.85,0.219,1e-05,,,,,,,,,,,,10.311097656531981,8.682119070032346,,,74.403697345823,967.9492474870879,,19.084652864616665,0.5234239309424283
72,pipe,к.40б__скв.412,412,1750048880,к.40б,,432109.07,,6572404.64,Q,0.2308347222,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3418.0,3026.0,ЭЦН5-125-2500,50.0,0.1605235971,periodic,21.0,0.7,50.0,,,13.430816860781546,13.430816897786277,21.58739812624655,,50.0,923.8778977180854,,0.2308347222,0.009499363469520352
73,pipe,к.45__скв.1513,1513,1750026636,к.45,,432637.02,,6568595.31,Q,1.781330833,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3223.0,1573.0,ЭЦН5А-160-1700,50.0,2.089770738,const,153.0,1,95.2,,,12.001945809001063,12.001198872697914,152.95598705990162,,95.2,1006.2174546389346,,1.781330833,0.06730706995924064
74,pipe,к.71__скв.1902,1902,1750028316,к.71,,440040.9303,,6561506.885,Q,1.440709213,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3015.0,2610.0,ЭЦН5-125-2500,53.0,1.172956106,const,124.0,1,94.1,,,9.133886165618636,9.133350707784864,123.96657351887191,,94.1,1004.1196789572501,,1.440709213,0.05455050826597848
75,pipe,к.230__скв.2302,2302,1751067763,к.230,,430953.64,,6561257.62,Q,0.9101805556,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3557.0,2793.0,ЭЦН5А-160-2500,48.0,0.4531064078,periodic,78.0,,85.8,,,19.869116276625807,19.868850664284032,79.46486599172314,,85.8,989.6147061020765,,0.9101805556,0.03496788453603951
76,pipe,уз.в.сек№88.4,1750022894,1750025402,уз.вр. к45,432750.16,433746.97,6568587.91,6569400.21,,,20,,,20,False,False,1339.0,159,8,-0.4,0.85,0.159,1e-05,,,,,,,,,,,,13.450721067991543,11.365404366612744,,,74.8802119297331,969.2232026669383,,14.36798382,0.7465998619718801
77,pipe,к.88__скв.882,882,1750037786,к.88,,430953.64,,6565257.62,Q,1.607532662,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3218.0,2686.0,ЭЦН5А-160-2700,50.0,1.916551782,const,146.0,1,66.3,,,19.0112797412515,19.01060740787595,145.49772416429246,,66.3,954.591027416813,,1.607532662,0.0640251204773117
78,pipe,к.40б__скв.421,421,1750048880,к.40б,,432109.07,,6572404.64,Q,2.087020833,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3497.0,2881.0,ЭЦН5-200-2500,50.0,1.339333945,const,180.0,1,93.0,,,13.431782883907777,13.430816897786277,179.91506122843077,,93.0,1002.242940307576,,2.087020833,0.07917019690167885
79,pipe,к.55__скв.1613,1613,1750037686,к.55,,429468.68,,6575668.1,Q,0.2345097222,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3251.0,2702.0,ЭЦН5-60-2500,51.0,0.1878056767,periodic,21.0,0.75,60.0,,,16.13890782121355,16.138869747623595,21.493918619753885,,60.0,942.6684987752134,,0.2345097222,0.009458228553495174
80,pipe,к.44__скв.6004,6004,1751054627,к.44,,439199.92,,6568611.67,Q,0.3612592593,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3290.0,2876.0,ЭЦН5-60-2500,51.0,0.1784700081,periodic,32.0,0.9,64.0,,,8.684843599130113,8.684843677316403,32.90653205741741,,64.0,948.5290017513219,,0.3612592593,0.014480258653995659
81,pipe,к.40б__скв.408,408,1750048880,к.40б,,432109.07,,6572404.64,Q,0.2628175926,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3210.0,2735.0,ЭЦН5-125-2500,50.0,0.2185986899,periodic,23.0,1.05,73.0,,,13.43086041547483,13.430816897786277,23.511678822045482,,73.0,965.7940707895601,,0.2628175926,0.01034612794015616
82,pipe,к.40__скв.581,581,1750024074,к.40,,431752.5,,6572395.78,Q,0.3267962963,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3210.0,2887.0,ЭЦН5-45-2600,50.0,0.2046558468,periodic,28.0,0.85,83.0,,,14.31107515579495,14.311017137127044,28.691521756526047,,83.0,984.0955889311708,,0.3267962963,0.012625476774225826
83,pipe,к.55__скв.1416,1416,1750037686,к.55,,429468.68,,6575668.1,Q,0.2399773148,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3331.0,2875.0,ЭЦН5-125-2500,50.0,0.1584536643,periodic,23.0,0.8,16.1,,,16.138869666944686,16.138869747623595,24.017616646726747,,16.1,863.2846590773507,,0.2399773148,0.010568761870448222
