"Нужен для демо 2022-04-27","ID примитива","Имя примитива","Класс CIM из IEC61970-301","Картинка","Примечание","Контейнер?","Номер в СТО 56947007-
29.240.10.035-2009","Название в СТО 56947007-
29.240.10.035-2009","Определение в ГОСТ Р 58651",,
,49,"Кабельная линия 400 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(255, 100, 30)",,27,"Кабельная линия","Участок (сегмент) линии переменного тока",,
,50,"Кабельная линия 500 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(213, 0, 0)",,27,"Кабельная линия","Участок (сегмент) линии переменного тока",,
,51,"Кабельная линия 800 кВ, 750 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(0, 0, 168)",,27,"Кабельная линия","Участок (сегмент) линии переменного тока",,
,52,"Кабельная линия 1150 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(205, 138, 255)",,27,"Кабельная линия","Участок (сегмент) линии переменного тока",,
,53,"Воздушная линия 0,4 кВ","ACLineSegment",,"Линия толщиной 1 ед., серый rgb(95,  95, 95)
Цвета аналогичны цветам воздушных линий.",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
3,54,"Воздушная линия 6 кВ","ACLineSegment",,"Линия толщиной 1 ед., темно-зеленый",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
4,55,"Воздушная линия 35 кВ","ACLineSegment",,"Линия толщиной 1 ед., коричневый",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
,56,"Воздушная линия 110 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(0, 153, 255)",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
,57,"Воздушная линия 220 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(255, 210, 0)",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
,58,"Воздушная линия 330 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(0, 170, 0)",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
,59,"Воздушная линия 400 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(255, 100, 30)",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
,60,"Воздушная линия 500 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(213, 0, 0)",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
,61,"Воздушная линия 800 кВ, 750 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(0, 0, 168)",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
,62,"Воздушная линия 1150 кВ","ACLineSegment",,"Линия толщиной 1 ед.
rgb(205, 138, 255)",,,"Воздушная линия","Участок (сегмент) линии переменного тока",,
,63,"Секция шин 0,4 кВ","BusbarSection",,"Линия толщиной 4 ед., серый rgb(95,  95, 95).
15 клемм.
Цвета аналогичны цветам воздушных линий.",,,"Секция шин","Секция шин",,
5,64,"Секция шин 6 кВ","BusbarSection",,"Линия толщиной 4 ед., .
15 клемм.
темно-зеленый",,,"Секция шин","Секция шин",,
6,65,"Секция шин 35 кВ","BusbarSection",,"Линия толщиной 4 ед.,.
15 клемм
 коричневый",,,"Секция шин","Секция шин",,
,66,"Секция шин 110 кВ","BusbarSection",,"Линия толщиной 4 ед., 15 клемм
rgb(0, 153, 255)",,,"Секция шин","Секция шин",,
,67,"Секция шин 220 кВ","BusbarSection",,"Линия толщиной 4 ед., 15 клемм
rgb(255, 210, 0)",,,"Секция шин","Секция шин",,
,68,"Секция шин 330 кВ","BusbarSection",,"Линия толщиной 4 ед., 15 клемм
rgb(0, 170, 0)",,,"Секция шин","Секция шин",,
,69,"Секция шин 400 кВ","BusbarSection",,"Линия толщиной 4 ед., 15 клемм
rgb(255, 100, 30)",,,"Секция шин","Секция шин",,
,70,"Секция шин 500 кВ","BusbarSection",,"Линия толщиной 4 ед., 15 клемм
rgb(213, 0, 0)",,,"Секция шин","Секция шин",,
,71,"Секция шин 800 кВ, 750 кВ","BusbarSection",,"Линия толщиной 4 ед., 15 клемм
rgb(0, 0, 168)",,,"Секция шин","Секция шин",,
,72,"Секция шин 1150 кВ","BusbarSection",,"Линия толщиной 4 ед., 15 клемм
rgb(205, 138, 255)",,,"Секция шин","Секция шин",,
9,73,"Отпайка","ConnectivityNode",,"Черный круг диаметром 4 ед..
Служит для соединения воздушных и кабельных линий",,,,"Соединенные полюса",,
,74,"Федеральный округ Российской Федерации","GeographicalRegion",,"Контейнер для трансформаторов, распределительных устройств, разъединителей, заземлителей.","да",,,"Федеральный округ Российской Федерации",,
,75,"Административно-территориальная единица","SubGeographicalRegion",,,"да",,,"Административно-территориальная единица",,
,76,"Организация","Organisation",,,"да",,,"Организация",,
,77,"Подстанция","Substation",,"Контейнер для трансформаторов, распределительных устройств, разъединителей, заземлителей.","да",,,"Подстанция",,
,78,"Распределительное устройство","VoltageLevel",,"Контейнер для секций шин и ячеек","да",,,"Распределительное устройство",,
,79,"Ячейка","Bay",,"Контейнер для коммутационного оборудования, подключенного к 1 клемме секции шин","да",,,"Группа коммутационного оборудования",,
10,80,"Генератор",,,,,,,,,
11,81,"Двигатель",,,,,,,,,
,82,"Месторождение",,,,"да",,,,,
,83,"Куст",,,,"да",,,,,
