row_type,node_name_start,node_id_start,node_id_end,node_name_end,X_start,X_end,Y_start,Y_end,start_kind,start_value,start_T,end_kind,end_value,end_T,start_is_source,startIsOutlet,end_is_source,endIsOutlet,altitude_start,altitude_end,L,d,s,uphillM,effectiveD,intD,roughness,perforation,pumpDepth,model,frequency,productivity,predict_mode,shtr_debit,K_pump,VolumeWater,choke_diam,p_start,q_start,p_end,q_end,startP,startT,endP,endT,start_Q_m3_day,end_Q_m3_day,res_watercut_percent,res_liquid_density_kg_m3,res_pump_power_watt,X_kg_sec,velocity_m_sec
injection_well,к.23б,к.23б,к.23б__скв.499,к.23б__скв.499,436781.68,436781.68,6545404.95,6545404.95,,,,Q,0,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0,163.5798314215,20,163.5798314215,20,,,100,1000,,0,
pipe,уз.2 водовод,уз.2 водовод,уз. в к1,уз. в к1,440545.410704217,439822.710824675,6546661.04329544,6546130.66132836,,,20,,,20,false,false,false,false,82,84.8,1161,0.273,0.02,,0.46,0.273,0.00001,,,,,,,,,,,,,,,207.5550609878,20,204.4691419261,20,,,100,1000,,24.694080936,0.4218690832
injection_well,к.3,к.3,к.3__скв.57,к.3__скв.57,440294.71,440294.71,6548535.3,6548535.3,,,,Q,0.57,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.57,197.9883561618,20,197.9880845651,20,,,100,1000,,0.57,
injection_well,к.12,к.12,к.12__скв.30,к.12__скв.30,437701.59,437701.59,6550241.15,6550241.15,,,,Q,0,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,,,,,0,190.0958389208,20,190.0958389208,20,,,100,1000,,0,
injection_well,к.4,к.4,к.4__скв.16,к.4__скв.16,440009.875648599,440009.875648599,6551718.3849489,6551718.3849489,,,,Q,0.22,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.22,196.8064766673,20,196.8064254187,20,,,100,1000,,0.22,
pipe,т.вр. в к16,т.вр. в к16,уз. в к16,уз. в к16,443455.73,443211.74,6554438.65,6554521.93,,,20,,,20,false,false,false,false,76.8,75,362.7,0.168,0.016,,0.46,0.168,0.00001,,,,,,,,,,,,,,,211.7690855282,20,211.9117916934,20,,,100,1000,,1.07,0.0482697823
pipe,уз. в к2,уз. в к2,уз.1,уз.1,437727.199963987,437832.7,6547029.40376245,6547176.72,,,20,,,20,false,false,false,false,83,86.08,30,0.168,0.016,,0.46,0.168,0.00001,,,,,,,,,,,,,,,146.2824686217,20,145.0138982991,20,,,100,1000,,27.68,1.2486986678
injection_well,к.1,к.1,к.1__скв.63,к.1__скв.63,439823.23,439823.23,6546342.02,6546342.02,,,,Q,1.15,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,5,,,,1.15,202.6732090924,20,202.6722790197,20,,,100,1000,,1.15,
injection_well,к.27,к.27,к.27__скв.656,к.27__скв.656,445689.07,445689.07,6551811.93,6551811.93,,,,Q,0.38,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.38,203.9200068537,20,203.9198733834,20,,,100,1000,,0.38,
injection_well,к.29,к.29,к.29__скв.650,к.29__скв.650,442419.25250814,442419.25250814,6543927.99863549,6543927.99863549,,,,Q,0.78,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.78,203.9101975259,20,203.9097268438,20,,,100,1000,,0.78,
pipe,уз.в к28,29,уз.в к28,29,к.29,к.29,442124.367577841,442419.25250814,6545406.07956237,6543927.99863549,,,20,,,,false,false,,false,62,,1534,0.114,0.011,,0.46,0.114,0.00001,,,,,,,,,,,,,,,215.6257443941,20,203.9101975259,20,,,100,1000,,4.48,0.4389129931
injection_well,к.13,к.13,к.13__скв.445,к.13__скв.445,442206.83,442206.83,6552792.71,6552792.71,,,,Q,0.3,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.3,210.4919434169,20,210.4918551973,20,,,100,1000,,0.3,
pipe,уз. в к13,уз. в к13,к.13,к.13,442190.044377435,442206.83,6552776.39314528,6552792.71,,,20,,,,false,false,,false,88.2,,38,0.168,0.014,,0.46,0.168,0.00001,,,,,,,,,,,,,,,210.5493749868,20,210.4919434169,20,,,100,1000,,5.17,0.2332287613
pipe,уз.в к17,уз.в к17,к.30,к.30,443750.3,446283.29,6555182.86,6561199.87,,,20,,,,false,false,,false,71,,6879,0.114,0.011,,0.46,0.114,0.00001,,,,,,,,,,,,,,,212.2525080001,20,209.6444415503,20,,,100,1000,,0.83,0.0813164697
pipe,т.вр. в к18 в/в,т.вр. в к18 в/в,уз. в к18,уз. в к18,443258.42,440065.86,6553977.94,6554698.07,,,20,,,20,false,false,false,false,74.2,88,3456,0.219,0.018,,0.46,0.219,0.00001,,,,,,,,,,,,,,,212.12273691,20,209.6221319374,20,,,100,1000,,4.51,0.1197287472
pipe,уз.в к23,уз.в к23,к.23б,к.23б,436762.374817286,436781.68,6545527.75246428,6545404.95,,,20,,,,false,false,,false,70.3,,154,0.168,0.016,,0.46,0.168,0.00001,,,,,,,,,,,,,,,164.6169746126,20,163.5798314215,20,,,100,1000,,11.86,0.5350276806
injection_well,к.38,к.38,к.38__скв.440,к.38__скв.440,439007.41,439007.41,6542717.22,6542717.22,,,,Q,2.49,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,4.3333333333,,,,2.49,194.815811567,20,194.8121953006,20,,,100,1000,,2.49,
